id,name,iban
1,Puls Technologies,DE89 3704 0044 0532 0130 00
2,Widget Corp,DE93 1001 0010 0850 8833 10
3,Data Dynamics,DE75 1007 0024 0944 3786 00
4,Invalid Corp,INVALID
5,Puls Technologies,DE89 3704 0044 0532 0130 00
6,Widget Corp.,DE93 1001 0010 0850 8833 10
7,Data Dynamics Inc,DE75 1007 0024 0944 3786 00
8,Puls Technologies GmbH,DE89 3704 0044 0532 0130 00
9,Advanced Analytics,DE71 1002 0890 0027 1738 12
10,Dynamic Data,DE14 1007 0000 0077 2277 00
11,Widget Corp,DE93 1001 0010 0850 8833 10
12,Dynamic Data,DE14 1007 0000 0077 2277 01
13,Puls Technologies,DE89 3704 0044 0532 0130 01
14,Advanced Analytics Corp,DE71 1002 0890 0027 1738 13
15,Data Dynamics,DE75 1007 0024 0944 3786 01
16,Invalid Corp,INVALID
17,Puls Technologies,DE89 3704 0044 0532 0130 02
18,Widget Corp.,DE93 1001 0010 0850 8833 11
19,Data Dynamics Inc,DE75 1007 0024 0944 3786 02
20,Puls Technologies GmbH,DE89 3704 0044 0532 0130 03
21,Advanced Analytics,DE71 1002 0890 0027 1738 14
22,Dynamic Data,DE14 1007 0000 0077 2277 02
23,Widget Corp,DE93 1001 0010 0850 8833 12
24,Dynamic Data,DE14 1007 0000 0077 2277 03
25,Puls Technologies,DE89 3704 0044 0532 0130 04
26,Advanced Analytics Corp,DE71 1002 0890 0027 1738 15
27,Data Dynamics,DE75 1007 0024 0944 3786 03
28,Invalid Corp,INVALID
29,Puls Technologies,DE89 3704 0044 0532 0130 05
30,Widget Corp.,DE93 1001 0010 0850 8833 13
